cellType	geneMarker
Oogenesis phase fetal germ cell	1433F,4ET,AAK1,AB12B,ABCB4,ABCC1,ABCC4,ABCD3,ABHD12B,ABHD2,ABLIM1,ABLIM2,ABLM1,ABLM2,ACAT1,ACE2,ACHA3,ACHA7,ACHE,ACO1,ACOC,ACOT2,ACOT4,ACTL8,ACYP2,ADA,ADAD1,ADAMTS17,ADARB2,ADCY5,ADCY9,ADGRG6,ADI1,ADRO,ADSS,AF9,AFAP1-AS1,AFF1,AGGF1,AGO2,AGRG6,AGTRAP,AIM1,AK1,AKR1B1,AKT3,AL1A2,ALDH1A2,ALDH5A1,ALDR,ALKB2,ALKBH2,AMBP,AMOT,ANK3,ANKRD45,ANKRD46,ANKS4B,ANO10,ANR45,ANR46,ANS4B,ANX11,ANXA11,ANXA7,APBA1,AR6P4,ARAP2,ARFIP2,ARFP2,ARG2,ARG33,ARGI2,ARHGAP10,ARHGAP15,ARHGAP18,ARHGEF33,ARI4A,ARID4A,ARIP4,ARL6IP4,ARMC1,ARMC2,ARMC8,ASGR2,ASPH,AT2C2,AT2L2,ATAD3C,ATD3C,ATG7,ATP2C2,ATP6AP1L,ATP6V1C1,ATP9A,ATRAP,ATS17,ATX7,ATXN7,AURKC,AVEN,B3GALNT1,B3GL1,B3GN2,B3GN4,B3GNT2,B3GNT4,B4GALT6,B4GT6,BAALC,BAIAP2,BAIAP2L1,BAIP2,BAT1,BAZ1A,BBOX1-AS1,BBS9,BCAR4,BCAS1,BCAS2,BCDO1,BCO1,BEND7,BI2L1,BIN3,BL1S6,BLOC1S6,BMP2K,BMPR1A,BMR1A,BOK,BPGM,BRDT,BRE1A,BRI3,BRMS1,BTBD11,BTBDB,BTG4,BUP1,C12orf76,C15orf48,C16orf74,C17orf85,C19orf38,C1orf220,C1orf56,C1S,C20orf196,C20orf96,C2orf61,C3orf33,C3orf56,C3orf70,C4orf47,C5,C6orf165,C6orf52,C8orf37-AS1,CA12,CA220,CA2D1,CABL1,CABLES1,CABP8,CABYR,CAC1D,CACNA1D,CACNA2D1,CAD17,CADH1,CADM1,CADPS2,CAH12,CALB2,CALN1,CAN12,CAND2,CAPN12,CAPR2,CAPRIN2,CAPS2,CAPZA2,CASP,CAST,CATB,CATF,CATH,CATSPERD,CATW,CAZA2,CBFA2T3,CBR1,CC033,CC056,CC070,CC110,CC85C,CCBE1,CCD42,CCD50,CCDC101,CCDC110,CCDC42,CCDC50,CCDC6,CCDC85C,CCDC88C,CCM2L,CCNH,CCNI,CCNI2,CCZ1,CD047,CD36,CD59,CD82,CDC42,CDH1,CDH17,CDIP1,CDKN1B,CDN1B,CE027,CELF2,CELR1,CELSR1,CF052,CFA58,CFAD,CFAP58,CFD,CFL2,CGAT1,CH17-340M24.3,CHD7,CHIO,CHN2,CHORDC1,CHP3,CHRD1,CHRNA3,CHRNA7,CHRNE,CKAP4,CL076,CL16A,CLC4C,CLEC16A,CLEC4C,CLIP4,CLOCK,CLU,CLUH,CMC4,CMPK1,CNN3,CNO11,CNOT11,CNRIP1,CNRP1,CNTD2,CNTN4,CNTNAP2,CNTP2,CO5,CO6A6,COBL1,COBLL1,COCH,COF2,COG5,COL11,COL6A6,COLEC11,COMD2,COMD7,COMMD2,COMMD7,COX42,COX4I2,COX7A2L,COX7R,COX8C,CP074,CPNE4,CPT1C,CRBN,CRISPLD1,CRISPLD2,CRLD1,CRLD2,CRYZ,CSF1R,CSGALNACT1,CSK2B,CSNK2B,CSRP2,CT096,CT196,CTAGE5,CTB-178M22.2,CTD-2201I18.1,CTGE5,CTRB2,CTSB,CTSF,CTSH,CTSRD,CTSW,CUL4B,CUL5,CUX1,CUX2,CYFIP2,CYFP2,CYH3,CYSTM1,CYTH3,CYTM1,DAAM1,DAPLE,DCDC2,DCE1,DCHS,DCT,DDX59,DEDD,DEGS2,DEN5B,DENND5B,DFNA5,DGKB,DGUOK-AS1,DHX58,DIAP3,DIAPH3,DIP2C,DISC1,DJB13,DJC10,DNAH10,DNAH11,DNAH12,DNAH17,DNAH3,DNAH7,DNAH9,DNAJB13,DNAJC10,DNAJC3-AS1,DPOE4,DPP6,DPPA3,DUS22,DUS23,DUSP22,DUSP23,DYH10,DYH11,DYH12,DYH17,DYH3,DYH7,DYH9,DYSF,E41L3,EAF1,ECHD1,ECHDC1,EEF2K,EF2K,EFC10,EFCAB10,EHMT2,EI24,EIF4ENIF1,ELAV2,ELAVL2,ELL2,ELOF1,ELOV4,ELOVL4,EMAL6,EMB,EMIL2,EMILIN2,EML6,EMRE,ENAH,ENTP4,ENTPD4,EPB41L3,EPHX1,EPN1,EPS8,EPSTI1,ERBB4,ERG1,ERIC5,ERICH5,ERO1LB,ESIP1,ESR2,ESRP1,ESYT3,ETFA,EXOC3,EYA2,EZR,EZRI,F149A,F178B,F184B,F1891,F19A1,F2,F220A,F227A,F227B,F228A,F71E1,FA13A,FA2H,FA35A,FA46C,FA53B,FAAS1,FACR2,FAM13A,FAM149A,FAM167A-AS1,FAM178B,FAM184B,FAM188A,FAM189A1,FAM195B,FAM19A1,FAM220A,FAM227A,FAM227B,FAM228A,FAM35A,FAM41C,FAM46C,FAM53B,FAM71E1,FANK1,FAR2,FARP1,FAT2,FBLN2,FBLN7,FBW12,FBX16,FBX32,FBXL2,FBXO16,FBXO32,FBXW12,FDXR,FER1L4,FGF9,FGFR1OP2,FGOP2,FHOD3,FIGLA,FINC,FKBP2,FLYWCH1,FMN1,FN1,FOLR1,FOXO3,FOXR1,FR1L4,FRMD3,FSD2,FSTL4,FSTL5,FTCD,FUCA2,FUCO2,FWCH1,G3BP2,G6PT2,GA45A,GABARAPL2,GABBR2,GABR2,GAD1,GADD45A,GAL,GALA,GALNS,GALNT13,GALNT18,GBB4,GBG12,GBG2,GBG4,GBG5,GBRL2,GCNT3,GDAP1,GDF9,GGA2B,GGT6,GIPC2,GLB1L2,GLBL2,GLIP1,GLIPR1,GLNA,GLO1,GLRX,GLRX1,GLT13,GLT18,GLUL,GLYG,GNA1,GNAS,GNAS3,GNB4,GNG12,GNG2,GNG4,GNG5,GNPDA2,GNPI2,GNPNAT1,GOLGA2P5,GOLI4,GOLIM4,GPLD1,GPX1,GPX3,GRIK2,GRP1,GSAP,GSE1,GSTK1,GSTM3,GTR8,GYG1,H10,H1F0,HABP2,HAP1,HAPLN3,HDC,HERC6,HERP1,HERPUD1,HEY2,HHLA2,HID1,HIP1R,HIPK4,HMHA1,HNRNPA1L2,HOME2,HOMER2,HOOK1,HOXB13,HOXC9,HOXD1,HPLN3,HPS4,HRAT56,HSF5,HSP72,HSPA2,HXB13,HXC9,HXD1,HYEP,I27L1,I2BPL,IAH1,ICAL,ID2,IF2B3,IFI27L1,IGF2BP3,IKBA,IMA8,IMDH1,IMPDH1,ING3,INP4B,INPP4B,INSC,INSI1,INSIG1,IPO5P1,IQEC1,IQSEC1,IQUB,IRF2BPL,IRF6,ISK2,ISPD,ITA4,ITA9,ITB5,ITF2,ITGA4,ITGA9,ITGB5,ITGBL,ITGBL1,ITIH2,ITPR1,JAG1,JARD2,JARID2,JAZF1,JPH2,K0930,K1024,K154L,K1C19,KAD1,KAISO,KALRN,KAP2,KBRS1,KCCAT333,KCNB1,KCNH8,KCNK9,KCY,KDF1,KDM1B,KDM4B,KI13B,KIAA0430,KIAA0930,KIAA1024,KIAA1147,KIAA1549L,KIF13B,KLC3,KLF5,KLHL7,KMT2E,KPCD2,KPNA7,KRBOX1,KRBX1,KRT19,L3MBTL3,LAD1,LAMA2,LCMT1,LDH6A,LDHAL6A,LEG3,LEG4,LGALS3,LGALS4,LGUL,LHB,LHX8,LIMS2,LINC01554,LMBL3,LMO3,LMO7,LMOD3,LONM,LONP1,LOXH1,LOXHD1,LOXL2,LPPR1,LRC17,LRC40,LRRC17,LRRC40,LRRK1,LRWD1,LSHB,LSM10,LSM11,LTBP3,LYPD1,LYRM5,M21D2,M3KCL,MA1A1,MAD1L1,MAEL,MAGI2-AS3,MAL2,MALD3,MAN1A1,MAP1B,MAP1LC3A,MAP3K7CL,MAP7,MAPK13,MAPK8,MAPT,MARVELD3,MAST4,MAT2B,MAX,MB21D2,MBIP,MBIP1,MCR,MCTP1,MCTP2,MD1L1,MDGA2,MDR3,MED16,MED8,MEG11,MEGF11,MELT,MESP1,MFA3L,MFAP3L,MFI2-AS1,MFN1,MFSD4,MGAT4A,MGAT4C,MGC72080,MGRN1,MGT4A,MGT4C,MICA2,MICAL2,MICALL2,MIER1,MILK2,MINK1,MK08,MK13,MKKS,MKNK2,MLK7-AS1,MLLT3,MLP3A,MMGT1,MOK,MOV10,MPP2,MPP7,MRO,MRP1,MRP4,MRVI1-AS1,MSTRO,MTEF2,MTERF2,MTG16,MTG8,MTL5,MTMR5,MTND,MTUS1,MUC20,MVP,MYCB2,MYCBP2,MYH15,MYO1E,MYO3B,MYO5B,MYO7B,MYOF,NAALAD2,NAC1,NAL11,NAL14,NALD2,NALP2,NALP4,NALP5,NALP7,NAPA,NAV2,NCK2,NCOA7,NCPR,NDE1,NDRG4,NECA2,NECAB2,NED4L,NEDD4L,NEK1,NET1,NFAC1,NFATC1,NFIA-AS1,NFKB2,NFKBIA,NGB,NID2,NIN,NIPSNAP3A,NKIRAS1,NLRP11,NLRP14,NLRP2,NLRP4,NLRP5,NLRP7,NOBOX,NOL12,NOL4L,NOSTN,NOSTRIN,NPL,NPM2,NPS3A,NR1D2,NR2E1,NR2E3,NR3C2,NRG4,NRX1B,NRX3A,NRXN1,NRXN3,NSG1,NSMA2,NSUN5,NTCP4,NTN1,NUD14,NUDT14,NUMB,ODF2L,ODPA,OFD1,OFUT2,OOSP1,OOSP2,ORAI2,ORN,OSB10,OSBL8,OSBPL10,OSBPL8,OSTF1,P2RX4,P2RX7,P63,PA216,PADC1,PADI6,PAHO,PAIP1,PALLD,PAOX,PAPD7,PCCB,PCD15,PCDH15,PCGF3,PCGF5,PCMT1,PDCD5,PDE4D,PDE8B,PDGFRL,PDHA1,PDLI3,PDLIM3,PDPK1,PDXD2,PDXDC2P,PDZD2,PECA1,PECAM1,PEDF,PER3,PERT,PF21B,PFKAP,PFKP,PFN2,PGFRL,PGPEP1L,PGPIL,PHACTR3,PHAR3,PHEX,PHF21B,PHKA2-AS1,PHLD,PHYKPL,PIMT,PINX1,PITRM1,PK1L3,PKD1L3,PKHM2,PKP4,PLA2G16,PLCG1-AS1,PLD6,PLEK2,PLEKHM2,PLS1,PLSI,PMGE,PNDC1,PNLDC1,POFUT2,POLE4,POLR2E,POLR2J,POLR2J4,POLR3G,POMZP3,PON1,PON2,POPD3,POPDC3,POR,POZP3,PP2BA,PPIC,PPIP1,PPM1F,PPP1R3C,PPP3CA,PPR3C,PPY,PRADC1,PREP,PRIC1,PRICKLE1,PRKAR2A,PRKD2,PROF2,PSD3,PSEN2,PSMG4,PSN2,PSTPIP1,PTHB1,PTN21,PTPM1,PTPMT1,PTPN21,PTPRK,PURA2,PXK,QKI,QOR,R144B,RA1L2,RAB11FIP2,RAB27A,RAB40B,RAB4A,RAD54L2,RADIL,RALB,RALY,RARR2,RARRES2,RASGRF1,RASGRF2,RASGRP1,RASL10A,RB27A,RB40B,RBFOX1,RBM33,RBM46,RBMS2,RBMX2,RBPMS2,RBPS2,RCAN3,RCN3,RDH10,RED2,RELN,REXO2,RFA1,RFIP2,RFOX1,RFTN1,RGRF1,RGRF2,RGS2,RHG10,RHG15,RHG18,RIAD1,RIIAD1,RN111,RN167,RN168,RNF111,RNF144B,RNF167,RNF168,RNF20,RNF38,RNU6-2,ROP1L,ROPN1L,RPA1,RPAB1,RPB11,RPC7,RRAGB,RRAS2,RSLAA,RTF2,RTFDC1,RUFY1,RUFY3,RUNX1T1,RYR3,S12A7,S29A4,S35G1,S38A8,S39A4,S6A20,SAM12,SAMC,SAMD12,SAMD4A,SARDH,SAS6,SASS6,SATB1,SBF1,SCARB1,SCARNA9,SCCPDH,SCPDL,SCRB1,SDHAF3,SDHF3,SDS3,SEM3E,SEMA3E,SEPW1,SERC2,SERINC2,SERPINF1,SETB2,SETDB2,SETX,SGK1,SGMS2,SH24A,SH2D4A,SH3G2,SH3G3,SH3GL2,SH3GL3,SH3K1,SH3KBP1,SHARPIN,SHD,SHOT1,SHRPN,SHTN1,SIG10,SIGLEC10,SIL1,SIM15,SKP2,SLC10A4,SLC12A7,SLC25A26,SLC29A4,SLC2A8,SLC30A3,SLC35G1,SLC37A1,SLC38A8,SLC39A4,SLC6A20,SLC7A11,SLC7A9,SLC8A1,SLCO1B3,SLCO3A1,SLCO4A1,SLK,SMAG1,SMAP1,SMARCA2,SMCA2,SMDT1,SMIM15,SMKR1,SMPD3,SMS,SMS2,SMYD2,SNAA,SNX11,SNX14,SNX30,SO1B3,SO3A1,SO4A1,SOHLH1,SOLH1,SPA6L,SPAT5,SPATA5,SPATA6L,SPERT,SPF27,SPG20,SPIN3,SPINK2,SPOCK3,SPSY,SPTAN1,SPTBN5,SPTN1,SPTN5,SQLE,SQRDL,SQSTM,SQSTM1,SSDH,SSR4,SSRD,SSTR5-AS1,ST17B,STAG3,STAT1,STAU1,STK17B,STK31,STK39,STRC,STX8,SUDS3,SVEP1,SVIP,SYC2L,SYCP2L,SYTL3,T106C,T120B,T178A,T200A,T22D1,T255B,T53I1,TAF5L,TATD2,TATDN2,TAU,TAX1BP1,TAXB1,TBA4A,TBA4B,TBB8,TBC17,TBC1D17,TBCD,TBL1R,TBL1XR1,TBPL2,TBX3,TBX5,TCF4,TCTA,TDRD1,TDRD6,TDRD9,TEKT5,TESC,TET3,TGBR3,TGFA,TGFBR3,TGM7,THB,THBS4,THIL,THIOM,THRB,THRSP,THS7A,THSD7A,THTPA,TICN3,TLE2,TLE6,TM108,TM163,TM230,TM232,TM243,TM249,TM7S3,TM7SF3,TMC3,TMEM106C,TMEM108,TMEM120B,TMEM163,TMEM178A,TMEM2,TMEM200A,TMEM230,TMEM232,TMEM243,TMEM249,TMEM25,TMEM255B,TMEM56,TMEM64,TMM25,TMM56,TMM64,TOB1,TP53INP1,TP63,TPC10,TPM3P9,TPO,TPPC1,TRAF2,TRAF5,TRAK1,TRAPPC1,TRAPPC10,TRI50,TRI77,TRIM50,TRIM6,TRIM77,TRIP12,TRIPC,TRM44,TRMT44,TRPM5,TSC2,TSC22D1,TSP4,TSPYL5,TSSC1,TSTD1,TSYL5,TT39A,TTC32,TTC39A,TUBA4A,TUBA4B,TUBB8,TXD16,TXN2,TXNDC16,TYRP2,U2Q2L,UB2D3,UB2E1,UB2E2,UB2Q2,UBA5,UBE2D3,UBE2E1,UBE2E2,UBE2Q2,UBE2Q2L,UBP18,UBP2,UBP30,UBP53,UBX11,UBXN11,UGGG2,UGGT2,UH1BL,UHRF1,UHRF1BP1L,ULK4,UN13C,UNC13C,UNC5C,UNKL,UPB1,UPK3B,USP18,USP2,USP3-AS1,USP30,USP53,VAMP2,VAS1L,VATC1,VAV3,VEPH1,VGLL4,VLDLR,VP13B,VPS13B,VPS4B,WASH3,WASH3P,WDFY1,WDR76,WDSUB1,WEE2,WFDC2,WFS1,WIPF2,WLS,WSDU1,WWOX,XCT,YBOX2,YBX2,YPEL5,YWHAH,ZAR1,ZBT18,ZBTB18,ZBTB33,ZC21B,ZC2HC1B,ZC3H18,ZCH18,ZDHC4,ZDHHC4,ZF64B,ZFAN3,ZFAND2A,ZFAND3,ZFHX3,ZFN2A,ZFP64,ZFR2,ZHX3,ZIM2,ZN106,ZN155,ZN215,ZN281,ZN330,ZN503,ZN815,ZN883,ZNF106,ZNF155,ZNF215,ZNF24,ZNF281,ZNF330,ZNF503,ZNF57,ZNF815P,ZNF883,ZNT3,ZP2,ZP3,ZSC26,ZSCAN26
Oral keratinocyte stem cell	CD71,Integrin alpha6beta4,ITA6,ITB4,ITGA6,ITGB4,TFR1,TFRC
Osteoblast	5NTD,Additional GABA Compounds,ALCAM,Alkaline phosphatase,ALP,ALPG,ALPL,B220,Calcitonin and Related Receptor Agonists,Calcitonin and Related Receptor Antagonists,Calcitonin R,CALCR,CD105,CD166,CD44,CD45,CD45.1,CD45.2,CD45RO,CD51,CD73,CD90,COE2,DC-STAMP,DCSTAMP,DCSTP,DLX5,E4BP4,EBF2,EGLN,ENG,GABA B Receptor Compounds,GABA Transporter Inhibitors,GABA-B R1,GABA-B Receptor Agonists,GABA-B Receptor Antagonists,GABA-B Receptor Modulators,GABBR1,GABR1,ITAV,ITGAV,NFIL3,NT5E,OC-STAMP,OCSTAMP,OCSTP,OSCAR,PPBN,PPBT,PTH1R,PTPRC,RUNX2,SP7,STRO-1,TBX2,TBX3,TBX5,TCIRG1,THY1,TNFRSF11A,TNR11,VPP3,WDR5
Osteoblasts	ABCD-3,ACN,AGTAVPRL,AII,ALPL,AML3,APO-1,Apo2,APT1,AVP,BANF,BEK,BFGFR,BGLAP,BGLAP2,bHLHe78,BLAU,BMND1,BMP1,BNSP,BSP,BSP-II,BSPI,C1orf7,C3Xkine,C5A,C5AR,C5AR1,C5R1,C9orf26,CALB,CALB1,CARD15,CARD4,CBFA1,CCD,CCD1,CCL11,CCN5,CD106,CD220,CD254,CD261,CD331,CD332,CD44,CD44R,CD49b,CD49B,CD49e,CD88,CD90,CD95,CEK,CEK3,CEPR,CF2R,CIAS1,CIS3,Cish3,CLG3,CLR1.1,CLR16.3,CLR7.1,CLSS,CMKRL2,CO11A1,COL11A1,COL11A2,COL12A1,COL12A1L,COL1A1,COLL6,CSPG8,CTGF-L,CX3CL1,CXC3,CXC3C,CXCL12,CYP27B1,DFNA13,DFNB53,DKFZp586H0523,DKFZP586L151,DLXIN-1,DR4,DRY12,DVS27,ECT1,EFNB2,EGFL6,EGFL6L,eotaxin,EPHB4,EPLG5,ER-alpha,Era,ESR,ESR1,ETA-1,EVR4,F2R,FAS,FAS1,FCAS,FCU,FEG-1,FGFR1,FGFR2,FKH1,FKHR,FLG,FLT2,FNRA,FOXO1,FOXO1A,fractalkine,FRP-4,frpHE,FRPHE,FRZB-2,GPCR-Br,GPER,GPER1,GPR30,HBM,HCELL,HIF-1alpha,HIF1,HIF1A,HKE5,HOPS,HPDR,HPDR1,HTK,Htk-L,HTKL,hWNT5A,HYP,HYP1,IBD1,IBSP,IL1F11,IL33,IN,INSR,ITGA2,ITGA5,JWS,K-SAM,KAL2,KGFR,LERGU,LERGU2,LERK5,LR3,LRP-4,LRP4,LRP5,LRP7,LyGPR,MAEG,MAGED1,MC56,MDU2,MDU3,MEGF7,merlin,MGC126226,MGC126227,MGC126228,MGC126430,MGC126431,MGC22554,MIC4,MMP13,MOP1,MWS,N-SAM,NALP3,neurotactin,NF-HEV,NF2,NLRC1,NLRC2,NLRP3,NOD1,NOD2,NPNT,NR1I1,NR3A1,NRAGE,OCN,ODF,OLFML1,OLFML2B,OPGL,OPN,OPPG,OPS,OPTA1,OSF-2,osterix,OSX,P2RX4,P2RX5,P2X4,P2X5,P450c1,PAR-6G,PAR6gamma,PARD6G,PASD8,PBSF,PCOLC,PDDR,PEBP2A1,PEBP2aA1,PENK,periostin,PEX,Pgp1,PHEX,PLCD4,PN,POEM,POSTN,PPP1R163,PSORAS1,PTH1R,PTHR1,PYPAF1,RANKL,RUNX2,SCH,SCYA11,SCYB12,SCYD1,SDF-1a,SDF-1b,SDF1,SDF1A,SDF1B,SFRP4,SLC6A6,SLEB1,SOCS-3,SOCS3,SOST2,SP-II,SP7,SPP1,SSI-3,STL2,TAUT,THY1,TIL3,TK14,TK25,TLR5,TLSF-a,TLSF-b,TNALP,TNAP,TNFRSF10A,TNFRSF6,TNFSF11,TNSALP,TPAR1,TRAILR-1,TRAILR1,TRANCE,Tyro11,UNQ564,VBCH2,VCAM1,VDD1,VDR,WISP2,WNT5A,XLH
Osteoclast	CALCR,CATK,CD40L,CD40LG,CD56,CTR,CTSK,NCAM1,RANK,RUNX2,SOFAT,THNS2,THNSL2,TNFRSF11A,TNR11,TRAP
Osteoclast precursor cell	ARMD10,bHLHe32,CD265,CD284,CysLT(1),CysLT1,CYSLT1R,CYSLTR1,FEO,hToll,KBF1,LOH18CR1,LYT-10,MI,MITF,NF-kappaB,NF-kB1,NF-kB2,NFkappaB,NFKB-p50,NFKB1,NFKB2,p49/p100,PDB2,RANK,RNF85,TLR-4,TLR4,TNFRSF11A,TRAF6,TREM-2,TREM2,Trem2a,Trem2b,Trem2c,WS2,WS2A
Osteoclasts	ACP5,AGER,AQP9,AR7,bHLHe78,BLTR,BNSP,BSPI,C9orf164,CA-II,CA2,CAII,Car2,CASR,CaT2,CCL3,CD100,CD265,CD29,CD49b,CD49B,CD51,CD61,CD68,CLG4B,CMKBRL1,CMKDR1,CMKRL1,coll-4,CSE,CTSK,CTSO,CTSO2,CX3CR1,DAND6,DC-STAMP,DCSTAMP,DKFZp547O146,DKFZp686M18236,DPC4,DYT18,DYT9,EAR-7.1/EAR-7.2,ECAC1,EFNB2,EGFL7,EPC-1,EPHB1,EPHT2,EPLG5,ER-alpha,Era,ERBA,ERBA1,ESR,ESR1,ETA-1,FBI-1,FEO,FHH,FIND,FLJ39737,FNRB,G0S19-1,GLUR8,GLUT,GLUT1,GP3A,GPIIA,GPIIIa,GPR13,GPR16,GPRC1H,GPRC2A,GRM8,Hek6,HHC,HHC1,HIF-1alpha,HIF1,HIF1A,HLPR,HNF-6,HNF6,HNF6A,HPAP,HPTPA,HsT17287,Htk-L,HTKL,HTLVR,IP3R3,IRAK-M,IRAK3,ITGA2,ITGAV,ITGB1,ITGB3,ITGB5,ITPR3,KCa1.1,KCNMA1,KIAA0062,LAMP4,LD78ALPHA,LERK5,LOH18CR1,LTB4R,LTB4R1,macrosialin,MADH4,MDF2,MGC126226,MGC126227,MGC126228,mGlu8,MGLUR8,MIP-1-alpha,MMP9,MOP1,MSK12,MSK8,mSLO1,NET34,NR1A1,NR1I1,NR3A1,NRP2,NSHPT,ONECUT1,OPN,OSCAR,P2RY6,P2RY7,P2Y6,P2Y7,PASD8,PDB2,PEDF,PIG35,PKND,pokemon,PPP1R163,PTH1R,PTHR1,PTPA,PTPRA,PTPRL2,PYCD,RAB3B,RANK,RGS13,RGS18,RPTPA,SCARD1,SCARJ1,SCYA3,SEMA4D,SEMAJ,SERPINF1,SLC2A1,SLC39A14,SLO,SMAD4,SNX10,SOST,SPP1,SSC1,T1R3,TAS1R3,THRA,THRA2,THRA3,TM7SF4,TNFRSF11A,TNFRSF11B,TRPV5,V28,VBCH,VDR,VEGF165R2,VNRA,VTNR,ZBTB7,ZBTB7A,ZIP14,ZNEU1,ZNF857A
Osteocyte	Anastellin,BGN,Biglycan,CD44,CX43,CXA1,DMP1,E11,FGF23,Fibronectin,FINC,FN1,GJA1,MEPE,PDPN,PGS1,PHEX,Podoplanin,SOST,SPARC,SPRC
Osteocytes	aggrus,DAND6,EFNB2,EPLG5,FGF23,Gp38,Htk-L,HTKL,LERK5,MGC126226,MGC126227,MGC126228,PA2.26,PDPN,PFN1,SOST,T1A-2,VBCH
Osteogenic precursor-like cell	BMPR1B,BMPRIB
Ovarian germ stem cell	OCT4,PO5F1,POU5F1
Ovarian somatic cell	LGR5
Oviduct-derived stem cell	5NTD,ABCG2,ALCAM,CD105,CD106,CD117,CD133,CD140b,CD146,CD166,CD29,CD31,CD34,CD44,CD45,CD49d,CD54,CD73,CD90,EGLN,ENG,ICAM1,ITA4,ITB1,ITGA4,ITGB1,KIT,MCAM,MUC18,NT5E,OCT4,PDGFRB,PECA1,PECAM1,PGFRB,PO5F1,POU5F1,PROM1,PTPRC,SOX2,SSEA-4,THY1,VCAM1
Oxyntic progenitor cell	ASPM
Oxyntic stem cell	ASPM
Oxyphil cell	GCM2,GCMB,GLUT4,hGCMb,SLC2A4
Pancreatic ductal stem cell	CK19,GCG,GLUC,Glucagon,INS,Insulin,K1C19K,KRT19
Pancreatic endoderm cell	CD142,F3,FOXA2,NDF1,NeuroD1,NEUROD1,NKX6-1,NKX6.1,NKX61,PAX6,PDX1,SOX17,TF
Pancreatic polypeptide cell	AQP3,ARHGAP3,ARX,BHLHB26,BHLHB27,CART,CARTPT,CHIO,CHN2,EGR3,ENTP2,ENTPD2,ETV1,ID2,ID4,LMO3,MEIS1,MEIS2,PAX6,PF2R,PTGFR,RBTN3,SERTM1,SLIK6,SLITRK6,SRTM1,THS7A,THSD7A,UBA2,ZN506,ZNF506
Pancreatic progenitor cell	AC133,GLUT2,GTR2,PROM1,SLC2A2
Pancreatic stellate cell	CCN2,CD140a,CD140b,CD90,CED,CIG,CK10,CLGI,COL1A1,COL1A2,COL3A1,COL4A1,COL6A1,COL6A2,COL6A3,CTGF,CYGB,DIL1,DPD1,DYNLT1,EDS4A,FINC,FLJ26118,FN1,FRP-2,GAS9,GEM,GFND2,HGB,IGFBP8,INHBA,JTK12,K10,KPP,KRT10,LETS,MGP,MMP11,MMP14,MT1-MMP,NDUFA4L2,NUOMS,ON,PDGFR,PDGFR1,PDGFR2,PDGFRA,PDGFRB,RGS5,SARP1,SDF-5,SFRP2,SPARC,SPON2,STAP,STMY3,TCTEL1,TGFB,TGFB1,TGFbeta,THY1,TIMP,TIMP1,TIMP3,TNFAIP6,TSG-6,TSG6
Pancreatic stem cell	AC133,c-Kit,CXCR4,KIT,LGR5,NANOG,PROM1,SSEA-4
